표준코드,단축코드,한글 종목명,한글 종목약명
KR7098120009,98120,(주)마이크로컨텍솔루션,마이크로컨텍솔
KR7131100000,131100,(주)스카이이앤엠,스카이이앤엠
KR7009520008,9520,(주)포스코엠텍,포스코엠텍
KR7095570008,95570,AJ네트웍스보통주,AJ네트웍스
KR7006840003,6840,AK홀딩스보통주,AK홀딩스
KR7282330000,282330,BGF리테일보통주,BGF리테일
KR7027410000,27410,BGF보통주,BGF
KR7138930003,138930,BNK금융지주보통주,BNK금융지주
KR7001461003,1465,BYC1우선주,BYC우
KR7001460005,1460,BYC보통주,BYC
KR7001041003,1045,CJ1우선주,CJ우
KR700104K010,00104K,CJ4우선주(전환),CJ4우(전환)
KR7001040005,1040,CJ보통주,CJ
KR7011151008,11155,CJ씨푸드1우선주,CJ씨푸드1우
KR7011150000,11150,CJ씨푸드보통주,CJ씨푸드
KR7058820002,58820,CMG제약,CMG제약
KR7000590000,590,CS홀딩스보통주,CS홀딩스
KR7012030003,12030,DB Inc.보통주,DB
KR7016610008,16610,DB금융투자보통주,DB금융투자
KR7005830005,5830,DB손해보험보통주,DB손해보험
KR7000991000,995,DB하이텍1우선주,DB하이텍1우
KR7000990002,990,DB하이텍보통주,DB하이텍
KR7139130009,139130,DGB금융지주보통주,DGB금융지주
KR7001530005,1530,DI동일보통주,DI동일
KR7000211003,215,DL1우선주,DL우
KR7001880004,1880,DL건설보통주,DL건설
KR7000210005,210,DL보통주,DL
KR737550K011,37550K,DL이앤씨1우선주,DL이앤씨우
KR7375500006,375500,DL이앤씨보통주,DL이앤씨
KR7155660004,155660,DSR보통주,DSR
KR7069730000,69730,DSR제강보통주,DSR제강
KR7017940008,17940,E1보통주,E1
KR7365550003,365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠
KR7050120005,50120,ES큐브,ES큐브
KR7383220001,383220,F&F보통주,F&F
KR7007700008,7700,F&F홀딩스,F&F홀딩스
KR7078931003,78935,GS1우선주,GS우
KR7006360002,6360,GS건설보통주,GS건설
KR7078930005,78930,GS보통주,GS
KR7012630000,12630,HDC보통주,HDC
KR7294870001,294870,HDC현대산업개발보통주,HDC현대산업개발
KR7097230007,97230,HJ중공업보통주,HJ중공업
KR7003560000,3560,IHQ보통주,IHQ
KR7175330000,175330,JB금융지주보통주,JB금융지주
KR7234080000,234080,JW생명과학보통주,JW생명과학
KR7001061001,1065,JW중외제약1우선주,JW중외제약우
KR7001062009,1067,JW중외제약2우선주(신형),JW중외제약2우B
KR7001060003,1060,JW중외제약보통주,JW중외제약
KR7096760004,96760,JW홀딩스 보통주,JW홀딩스
KR7105560007,105560,KB금융지주 보통주,KB금융
